,geo,time,cell_phones_total
871,bhr,1970,0.0
872,bhr,1975,0.0
873,bhr,1976,0.0
874,bhr,1977,0.0
875,bhr,1978,0.0
876,bhr,1979,0.0
877,bhr,1980,0.0
878,bhr,1981,0.0
879,bhr,1982,0.0
880,bhr,1983,0.0
881,bhr,1984,0.0
882,bhr,1985,0.0
883,bhr,1986,618.0
884,bhr,1987,1712.0
885,bhr,1988,2886.0
886,bhr,1989,4251.0
887,bhr,1990,5147.0
888,bhr,1991,7354.0
889,bhr,1992,9683.0
890,bhr,1993,11360.0
891,bhr,1994,17616.0
892,bhr,1995,27600.0
893,bhr,1996,40080.0
894,bhr,1997,58543.0
895,bhr,1998,92063.0
896,bhr,1999,133468.0
897,bhr,2000,205727.0
898,bhr,2001,299587.0
899,bhr,2002,388990.0
900,bhr,2003,443109.0
901,bhr,2004,649764.0
902,bhr,2005,767103.0
903,bhr,2006,907433.0
904,bhr,2007,1115979.0
905,bhr,2008,1440782.0
906,bhr,2009,1401974.0
907,bhr,2010,1567000.0
908,bhr,2011,1693650.0
909,bhr,2012,2123903.0
910,bhr,2013,2210190.0
911,bhr,2014,2328994.0
912,bhr,2015,2519055.0
913,bhr,2016,2994865.0
914,bhr,2017,2364477.0
915,bhr,2018,2092714.0
916,bhr,2019,1900361.0
917,bhs,1960,0.0
918,bhs,1965,0.0
919,bhs,1970,0.0
920,bhs,1975,0.0
921,bhs,1976,0.0
922,bhs,1977,0.0
923,bhs,1978,0.0
924,bhs,1979,0.0
925,bhs,1980,0.0
926,bhs,1981,0.0
927,bhs,1982,0.0
928,bhs,1983,0.0
929,bhs,1984,0.0
930,bhs,1985,0.0
931,bhs,1986,0.0
932,bhs,1987,0.0
933,bhs,1988,0.0
934,bhs,1989,0.0
935,bhs,1990,1922.0
936,bhs,1991,2020.0
937,bhs,1992,2600.0
938,bhs,1993,2401.0
939,bhs,1995,4100.0
940,bhs,1996,4948.0
941,bhs,1997,6200.0
942,bhs,1998,8072.0
943,bhs,1999,15911.0
944,bhs,2000,31524.0
945,bhs,2001,60555.0
946,bhs,2002,121759.0
947,bhs,2003,122228.0
948,bhs,2004,186007.0
949,bhs,2005,227771.0
950,bhs,2006,252987.0
951,bhs,2007,373999.0
952,bhs,2008,358050.0
953,bhs,2009,358812.0
954,bhs,2010,428377.0
955,bhs,2011,298790.0
956,bhs,2012,300000.0
957,bhs,2013,287000.0
958,bhs,2014,314842.0
959,bhs,2015,311175.0
960,bhs,2016,360200.0
961,bhs,2017,353540.0
962,bhs,2018,388707.0
963,bhs,2019,425507.0
964,bih,1960,0.0
965,bih,1965,0.0
966,bih,1970,0.0
967,bih,1975,0.0
968,bih,1976,0.0
969,bih,1977,0.0
970,bih,1978,0.0
971,bih,1979,0.0
972,bih,1980,0.0
973,bih,1981,0.0
974,bih,1982,0.0
975,bih,1983,0.0
976,bih,1984,0.0
977,bih,1985,0.0
978,bih,1986,0.0
979,bih,1987,0.0
980,bih,1988,0.0
981,bih,1989,0.0
982,bih,1990,0.0
983,bih,1991,0.0
984,bih,1992,0.0
985,bih,1993,0.0
986,bih,1994,0.0
987,bih,1995,0.0
988,bih,1996,1500.0
989,bih,1997,9000.0
