ID,gender,age,group,time
12279,F,25,F25-29,7.239444445
12280,F,46,F45-49,7.298333333
12281,F,50,F50-54,7.300555555
12282,F,21,F18-24,6.901388888
12283,M,30,M30-34,7.24
12284,M,46,M45-49,7.298888888
12285,F,58,F55-59,7.118888888
12286,F,46,F45-49,7.167777778
12287,M,61,M60-64,7.118888888
12288,F,43,F40-44,7.016111112
12289,M,42,M40-44,6.984444445
12290,F,21,F18-24,7.086388888
12291,M,52,M50-54,7.084444445
12292,F,46,F45-49,7.188611112
12293,F,41,F40-44,7.199444445
12294,F,31,F30-34,7.0825
12295,F,43,F40-44,7.198055555
12296,M,53,M50-54,7.0825
12297,F,44,F40-44,7.198055555
12298,M,46,M45-49,7.303055555
12299,F,44,F40-44,7.198055555
12300,F,53,F50-54,7.281944445
12301,F,57,F55-59,7.088888888
12302,F,42,F40-44,7.303055555
12303,F,33,F30-34,7.082777778
12304,F,28,F25-29,7.047222222
12305,F,46,F45-49,7.093333333
12306,M,43,M40-44,7.223888888
12307,F,54,F50-54,7.190555555
12308,F,23,F18-24,7.190833333
12309,M,25,M25-29,7.2825
12310,F,49,F45-49,7.223333333
12311,M,33,M30-34,6.984444445
12312,M,34,M30-34,7.169722222
12313,F,33,F30-34,6.984444445
12314,F,59,F55-59,7.223888888
12315,M,53,M50-54,7.161111112
12316,F,30,F30-34,7.273888888
12317,M,36,M35-39,6.984722222
12318,F,33,F30-34,7.169722222
12319,F,33,F30-34,7.098055555
12320,F,33,F30-34,6.984722222
12321,M,46,M45-49,7.356388888
12322,F,37,F35-39,6.984722222
12323,F,44,F40-44,7.356666667
12324,F,38,F35-39,7.239722222
12325,F,50,F50-54,7.275
12326,F,20,F18-24,7.225555555
12327,M,36,M35-39,7.276666667
12328,M,34,M30-34,7.223333333
12329,F,53,F50-54,6.985833333
12330,F,34,F30-34,7.277222222
12331,F,41,F40-44,7.091111112
12332,F,42,F40-44,6.985833333
12333,F,55,F55-59,7.230277778
12334,F,57,F55-59,7.223055555
12335,F,25,F25-29,7.123888888
12336,M,59,M55-59,6.986388888
12337,M,53,M50-54,7.224166667
12338,F,59,F55-59,7.123611112
12339,F,53,F50-54,7.177777778
12340,M,53,M50-54,7.230555555
12341,M,48,M45-49,7.177777778
12342,M,42,M40-44,6.899722222
12343,M,42,M40-44,6.871111112
12344,F,46,F45-49,7.231666667
12345,F,37,F35-39,7.28
12346,F,40,F40-44,7.28
12347,M,53,M50-54,7.231944445
12348,M,45,M45-49,6.953888888
